[2025-06-13 14:20:56] 问题: 下列维是形 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 14:20:56] 问题:  | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 14:20:56] 问题: 一 | 答案: ["女儿国王","朱紫国王","三大王"] | 可信度: 12% | 匹配类型: 部分匹配(查询是题库问题的子串)
[2025-06-13 14:21:00] 问题: 界群雄 | 答案: ["孙悟空","大鹏王"] | 可信度: 30% | 匹配类型: 部分匹配(查询是题库问题的子串)
[2025-06-13 14:21:47] 问题: 找出3个常驻建邮城的角色？ | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 14:22:31] 问题: 找出3个常驻建邮城的角色？ | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 14:27:56] 问题: 找出3个常驻建邮城的角色？ | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 14:32:46] 问题: 找出3个常驻建邮城的角色？ | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 14:34:35] 问题: 找出3个常驻建邮城的角色？ | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 14:36:03] 问题: 找出3个常驻建邮城的角色？ | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 14:39:28] 问题: 找出3个常驻建邮城的角色？ | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 14:42:49] 问题: 找出3个常驻建邮城的角色？ | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 14:45:31] 问题: 找出3个常驻建邮城的角色？ | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 14:48:00] 问题: 找出3个常驻建邮城的角色？ | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 14:49:10] 问题: 找出3个常驻建邮城的角色？ | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 14:50:38] 问题: 找出3个常驻建邮城的角色？ | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 14:52:06] 问题: 找出3个常驻建邮城的角色？ | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 14:55:10] 问题: 找出3个常驻建邮城的角色？ | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 14:56:48] 问题: 找出3个常驻建邮城的角色？ | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 14:59:10] 问题: 找出3个常驻建邮城的角色？ | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 15:00:21] 问题: 找出3个常驻建邮城的角色？ | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 15:02:28] 问题: 找出3个常驻建邮城的角色？ | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 15:12:15] 问题: 找出3个常驻建邮城的角色？ | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 15:14:42] 问题: 找出3个常驻建邮城的角色？ | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 15:15:53] 问题: VN1 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 15:15:59] 问题: 儿子的婚礼？ | 答案: ["泾河龙王"] | 可信度: 40% | 匹配类型: 部分匹配(查询是题库问题的子串)
[2025-06-13 15:26:14] 问题:  | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 15:26:14] 问题: 唐僧是谁的义弟？ | 答案: ["唐太宗"] | 可信度: 100% | 匹配类型: 精确匹配
[2025-06-13 15:26:19] 问题: 第7题：以下谁会72变？ | 答案: ["二郎神","孙悟空"] | 可信度: 67% | 匹配类型: 部分匹配(题库问题是查询的子串)
[2025-06-13 15:26:24] 问题: 第7题：以下谁会72变？ | 答案: ["二郎神","孙悟空"] | 可信度: 67% | 匹配类型: 部分匹配(题库问题是查询的子串)
[2025-06-13 15:26:29] 问题:  | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 15:26:29] 问题: 找电 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 15:26:29] 问题: 地府的角色 | 答案: ["千年僵尸","孤魂野鬼","吸血鬼"] | 可信度: 42% | 匹配类型: 部分匹配(查询是题库问题的子串)
[2025-06-13 15:26:34] 问题:  | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 15:26:34] 问题: 找电 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 15:26:34] 问题: 地府的角色 | 答案: ["千年僵尸","孤魂野鬼","吸血鬼"] | 可信度: 42% | 匹配类型: 部分匹配(查询是题库问题的子串)
[2025-06-13 15:26:38] 问题:  | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 15:26:40] 问题:  | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 15:26:40] 问题: 找电 | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 15:26:40] 问题: 地府的角色 | 答案: ["千年僵尸","孤魂野鬼","吸血鬼"] | 可信度: 42% | 匹配类型: 部分匹配(查询是题库问题的子串)
[2025-06-13 15:26:44] 问题:  | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 15:26:45] 问题:  | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 15:26:45] 问题: 找出3个拥有翅膀的主角 | 答案: ["玄彩娥","骨精灵","羽灵神"] | 可信度: 100% | 匹配类型: 精确匹配
[2025-06-13 15:26:50] 问题:  | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 15:26:50] 问题: 找出3个拥有翅膀的主角 | 答案: ["玄彩娥","骨精灵","羽灵神"] | 可信度: 100% | 匹配类型: 精确匹配
[2025-06-13 15:26:56] 问题:  | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 15:26:56] 问题: 找出3个拥有翅膀的主角 | 答案: ["玄彩娥","骨精灵","羽灵神"] | 可信度: 100% | 匹配类型: 精确匹配
[2025-06-13 15:27:02] 问题:  | 答案: 未找到匹配的问题 | 可信度: 0% | 匹配类型: 无匹配
[2025-06-13 15:27:02] 问题: 找出3个拥有翅膀的主角 | 答案: ["玄彩娥","骨精灵","羽灵神"] | 可信度: 100% | 匹配类型: 精确匹配
